platform,review,rating,tanggal,sentiment,review_clean,aspect_index,aspek
AdaKami,"!!!!Tolong Yang Belum Pinjam Harap Dibaca , cukup saya dan yang lain yang gak punya pilihan lain yang jadi korban saja!!!! .... Adakami ini bunga nya besar ya ... Saya Pinjam 3.340.000 , dan harus mengembalikan sebesar 5.256.144 , jelas banyak dong bunga nya , banyak spam call di jam tertentu , untuk bayar tagihan saja ribet , belum lagi yg telat bayar pasti banyak terror , dll. !!!! Tolong yang belum pinjam dipikirkan lagi !!!!",5,2026-04-24 11:24:40,Negatif,belum pinjam harap baca cukup tidak punya pilih korban bunga besar pinjam besar jelas banyak bunga banyak spam call jam bayar tagih ribet belum lambat bayar banyak terror belum pinjam pikir,2,Penolakan Pengajuan & Batas Limit
AdaKami,"... bersifat sangat membantu kebutuhan mendadak saya,,... semoga diberikan kelancaran dlm angsuran hingga pelunasan,...dan kerjasamanya,,.. 🙏😁",4,2026-01-16 14:05:38,Positif,sifat bantu butuh dadak moga beri lancar angsur hingga lunas kerjasamanya,0,Kecepatan Pencairan & Kemudahan
AdaKami,"...tgl 20,4,2026 menghapus apk anda ya ... saya ingin mncairkan uang pinjaman 1jt pas karna saya dpt limit 1.5jt malah tidak bisa cair...dgn alasan kredit skor kurang...padahal saya tidak pernah telat bayar sebelum.a....apabila data saya d salah gunakan ...kita ketemu lgsg di kantor polisi....hapus data saya",1,2026-04-19 23:46:55,Negatif,tanggal hapus mncairkan uang pinjam juta batas pinjam juta malah tidak cair alas kredit skor kurang padahal tidak pernah lambat bayar belum a apabila data salah ketemu langsung kantor polisi hapus data,2,Penolakan Pengajuan & Batas Limit
AdaKami,.apk baguss cepat dan membantu...cuman 1 koq biaya nya lumayan yaa,5,2026-04-30 1:35:03,Negatif,bagus cepat bantu biaya lumayan,0,Kecepatan Pencairan & Kemudahan
AdaKami, SOLUSI DALAM KESULITAN HIDUP ,5,2026-05-16 9:10:41,Positif,solusi sulit hidup,0,Kecepatan Pencairan & Kemudahan
AdaKami,Aplikasi pinjaman online terbaik! Proses pendaftarannya sangat cepat dan tanpa jaminan. Sangat membantu saat ada kebutuhan mendesak. Recommended!,5,2026-06-03 12:19:27,Positif,pinjam online baik proses daftar cepat jamin bantu butuh desak recommended,0,Kecepatan Pencairan & Kemudahan
AdaKami,"⭐⭐⭐⭐✨ Rekomendasi buat yang cari solusi finansial praktis! Kalau lagi butuh uang cepat, pinjaman online dari AdaKami bisa jadi pilihan. Tampilan aplikasinya mudah dipahami, informasi bunga dan cicilan juga transparan dari awal. Sudah lebih dari 10 juta yang download, pasti ada alasannya kan 😉",5,2026-03-09 22:21:39,Positif,rekomendasi cari solusi finansial praktis butuh uang cepat pinjam online pilih tampil mudah paham informasi bunga cicil transparan awal lebih juta unduh alas,0,Kecepatan Pencairan & Kemudahan
AdaKami,👍👍👍👍 pencairannya cepat dan daftarnya mudah....,5,2026-04-11 13:08:43,Positif,cair cepat daftar mudah,0,Kecepatan Pencairan & Kemudahan
AdaKami,"1 kata... terbaik tuk adakami. 5 THN lancar selalu di percayakan,pernah kelewat satu hr masih di percayakan🤩",5,2026-05-29 3:13:49,Positif,baik tahun lancar selalu percaya pernah lewat satu hari percaya,2,Penolakan Pengajuan & Batas Limit
AdaKami,"1. Pembayaran terlalu ribet karena harus ke BNI pakai layanan Real Time Online nambahin biaya layanan lagi. 2. terlalu bayak beban biaya lainnya seperti ; Biaya Materai, PPN, Biaya Layanan, Biaya Asuransi yg sangat besar bahkan lebih besar dari nilai Bunga nya. Mohon maaf tetap saya kasih bintang 1 karena banyak aplikasi lain yg lebih mudah & tidak banyak embel embel biaya lainnya🙏",1,2026-03-24 9:43:45,Negatif,bayar terlalu ribet bank negara indonesia layan real time online tambah biaya layan terlalu bayak beban biaya biaya materai ppn biaya layan biaya asuransi besar bahkan lebih besar nilai bunga mohon maaf tetap banyak lebih mudah tidak banyak embel embel biaya,3,"Penagihan, Bunga & Cicilan Bulanan"
